100000001,利群(长嘴)香烟20支,10000,国产香烟,6901028118811,包,20支,22,575004,浙江省烟草公司绍兴分公司,是
100000002,利群(老版)20支,10000,国产香烟,6901028207041,包,20支,16,575004,浙江省烟草公司绍兴分公司,是
100000003,蓝利群（软）,10000,国产香烟,6901028117579,包,20支,18,575004,浙江省烟草公司绍兴分公司,是
100000004,利群(软红长嘴)香烟20支,10000,国产香烟,6901028207492,包,20支,22,575004,浙江省烟草公司绍兴分公司,是
100000005,利群(软长嘴)香烟20支,10000,国产香烟,6901028120692,包,20支,36,575004,浙江省烟草公司绍兴分公司,是
100000006,中华（硬）,10000,国产香烟,6901028075763,包,20支,45,575004,浙江省烟草公司绍兴分公司,是
100000007,五一（软国际）,10000,国产香烟,6901028344944,包,20支?,10.5,575004,浙江省烟草公司绍兴分公司,是
100000008,红河(硬甲)香烟20支,10100,滞销烟,6901028055048,包,20支,6.5,575004,浙江省烟草公司绍兴分公司,是
100000009,新安江（软）,10000,国产香烟,6901028117845,包,20支?,10.5,575004,浙江省烟草公司绍兴分公司,是
100000010,红双喜(硬8mg)香烟20支,10100,滞销烟,6901028075831,包,20支,8.5,575004,浙江省烟草公司绍兴分公司,是
100000011,云烟(双龙)20支,10100,滞销烟,6901028046978,包,20支,8.5,575004,浙江省烟草公司绍兴分公司,是
100000012,白沙(硬)香烟20支,10100,滞销烟,6901028191029,盒,20支,6,575004,浙江省烟草公司绍兴分公司,是
100000013,南京(红)香烟20支,10000,国产香烟,6901028300056,包,20支,12,575004,浙江省烟草公司绍兴分公司,是
100000014,七匹狼(豪情)20支,10100,滞销烟,6901028138352,包,20支,5.5,575004,浙江省烟草公司绍兴分公司,是
100000015,茶花（94mm）,10000,国产香烟,6901028045483,包,20支,7,575004,浙江省烟草公司绍兴分公司,是
100000016,红双喜(硬)香烟20支,10000,国产香烟,6901028075800,包,20支,8,575004,浙江省烟草公司绍兴分公司,是
100000017,白沙(精品二代)香烟20支,10100,滞销烟,6901028191098,盒,20支,11,575004,浙江省烟草公司绍兴分公司,是
100000018,中华(软)香烟20支,10000,国产香烟,6901028075770,包,20支,70,575004,浙江省烟草公司绍兴分公司,是
100000019,雄狮(红老版)20支,10100,滞销烟,6901028120609,包,20支?,5.5,575004,浙江省烟草公司绍兴分公司,是
100000020,芙蓉王(硬)香烟20支,10100,滞销烟,6901028193498,包,20支,25,575004,浙江省烟草公司绍兴分公司,是
100000021,苏烟(软金砂)香烟20支,10100,滞销烟,6901028114448,包,20支,48,575004,浙江省烟草公司绍兴分公司,是
100000022,黄鹤楼(硬雅香)香烟20支,10100,滞销烟,6901028179874,包,20支,22,575004,浙江省烟草公司绍兴分公司,是
100000023,利群(阳光)香烟20支,10000,国产香烟,6901028117333,包,20支,48,575004,浙江省烟草公司绍兴分公司,是
100000024,大红鹰（软）,10000,国产香烟,6901028119719,包,20支,18,575004,浙江省烟草公司绍兴分公司,是
100000025,玉溪（软）,10100,滞销烟,6901028317122,包,20支,23,575004,浙江省烟草公司绍兴分公司,是
100000026,玉溪（硬）,10000,国产香烟,6901028316989,包,20支,22,575004,浙江省烟草公司绍兴分公司,是
100000027,芙蓉王（软蓝）,10100,滞销烟,6901028193917,包,20支,60,575004,浙江省烟草公司绍兴分公司,是
100000028,芙蓉王（蓝）,10100,滞销烟,6901028193856,包,20支,35,575004,浙江省烟草公司绍兴分公司,是
100000029,云烟(紫)20支,10100,滞销烟,6901028046886,包,20支,10,575004,浙江省烟草公司绍兴分公司,是
100000030,新品大红鹰20支,10000,国产香烟,6901028345781,包,20支,10,575004,浙江省烟草公司绍兴分公司,是
100000031,中南海,10100,滞销烟,6901028071765,包,20支,7,575004,浙江省烟草公司绍兴分公司,是
100000032,长白山(神韵)香烟20支,10100,滞销烟,6901028099776,包,20支,20,575004,浙江省烟草公司绍兴分公司,是
100000033,黄山（金醇和）,10000,国产香烟,6901028131162,包,20支,7.5,575004,浙江省烟草公司绍兴分公司,是
100000034,七匹狼(金)香烟20支,10100,滞销烟,6901028141871,包,20支,8.5,575004,浙江省烟草公司绍兴分公司,是
100000035,哈德门(醇香)香烟20支,10000,国产香烟,6901028149891,包,20支,5.5,575004,浙江省烟草公司绍兴分公司,是
100000036,红旗渠（软红）,10000,国产香烟,6901028164733,包,20支,2.5,575004,浙江省烟草公司绍兴分公司,是
100000037,黄鹤楼（软蓝）,10100,滞销烟,6901028180573,包,20支,19,575004,浙江省烟草公司绍兴分公司,是
100000038,白沙（新精品）,10000,国产香烟,6901028196680,包,,8,575004,浙江省烟草公司绍兴分公司,是
100000039,黄果树（特制醇香）,10000,国产香烟,6901028037273,包,20支,4,575004,浙江省烟草公司绍兴分公司,是
100000040,大红鹰软（全新）,10000,国产香烟,6901028345750,包,20支,10,575004,浙江省烟草公司绍兴分公司,是
100000041,利群(硬)香烟20支,10100,滞销烟,6901028207843,包,20支,26,575004,浙江省烟草公司绍兴分公司,是
100000042,新安江（红硬）,10000,国产香烟,6901028207317,包,20支?,10.5,575004,浙江省烟草公司绍兴分公司,是
100000043,中华(扁)香烟20支,10000,国产香烟,6901028075718,盒,20支,50,575004,浙江省烟草公司绍兴分公司,是
100000044,娇子(软阳光)香烟20支,10000,国产香烟,6901028025577,包,20支,10.5,575004,浙江省烟草公司绍兴分公司,是
100000045,南京(精品)香烟20支,10100,滞销烟,6901028300094,包,20支,22,575004,浙江省烟草公司绍兴分公司,是
